AL EAST,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game
New York Yankees,92,66,0.582,-,-,6-4,L2,793,650,143,93-65,42-35,50-31,54-38,Sep 26 vs. BAL
Baltimore Orioles,88,70,0.557,4,4,5-5,W2,763,683,80,87-71,44-37,44-33,44-43,Sep 26 @ NYY
Boston Red Sox,80,79,0.503,12.5,4.5,5-5,L1,745,737,8,80-79,37-41,43-38,37-56,Sep 27 vs. TB
Tampa Bay Rays,78,80,0.494,14,6,5-5,L2,591,653,-62,72-86,42-39,36-41,45-55,Sep 26 @ DET
Toronto Blue Jays,74,85,0.465,18.5,10.5,3-7,W1,664,717,-53,74-85,39-39,35-46,43-63,Sep 27 vs. MIA
AL CENTRAL,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game
Cleveland Guardians,92,67,0.579,-,-,7-3,W2,703,612,91,90-69,50-28,42-39,50-45,Sep 27 vs. HOU
Detroit Tigers,84,74,0.532,7.5,-,9-1,W4,669,625,44,84-74,41-36,43-38,47-50,Sep 26 vs. TB
Kansas City Royals,84,74,0.532,7.5,-,3-7,W2,723,633,90,89-69,45-36,39-38,44-52,Sep 26 @ WSH
Minnesota Twins,82,76,0.519,9.5,2,4-6,W1,730,705,25,82-76,43-34,39-42,39-56,Sep 26 vs. MIA
Chicago White Sox,38,120,0.241,53.5,46,5-5,W2,486,804,-318,45-113,22-58,16-62,21-89,Sep 26 vs. LAA
AL WEST,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game
Houston Astros,86,73,0.541,-,-,5-5,L1,731,644,87,89-70,46-35,40-38,39-43,Sep 27 @ CLE
Seattle Mariners,82,77,0.516,4,2.5,6-4,W1,661,597,64,87-72,46-32,36-45,40-36,Sep 27 vs. OAK
Texas Rangers,74,83,0.471,11,9.5,4-6,L1,654,724,-70,71-86,44-37,30-46,39-60,LIVE @ OAK
Oakland Athletics,68,89,0.433,17,15.5,4-6,W1,629,742,-113,67-90,37-42,31-47,33-62,LIVE vs. TEX
Los Angeles Angels,63,95,0.399,22.5,21,3-7,L2,625,768,-143,64-94,32-46,31-49,40-58,Sep 26 @ CWS
NL EAST,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game
Philadelphia Phillies,94,65,0.591,-,-,4-6,W1,774,653,121,92-67,54-27,40-38,49-41,Sep 27 @ WSH
New York Mets,87,70,0.554,6,0.5,6-4,L1,751,673,78,86-71,46-35,41-35,45-43,Sep 27 @ MIL
Atlanta Braves,86,71,0.548,7,0.5,6-4,W3,687,594,93,89-68,43-33,43-38,49-39,Sep 27 vs. KC
Washington Nationals,69,89,0.437,24.5,18,1-9,L3,638,747,-109,68-90,36-41,33-48,36-66,Sep 26 vs. KC
Miami Marlins,58,100,0.367,35.5,29,3-7,L1,603,828,-225,57-101,30-51,28-49,41-61,Sep 26 @ MIN
NL CENTRAL,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game
Milwaukee Brewers,90,68,0.57,-,-,5-5,L1,758,630,128,92-66,45-33,45-35,50-40,Sep 26 @ PIT
Chicago Cubs,81,77,0.513,9,6,5-5,W4,647,699,-52,73-85,44-37,37-40,43-47,Sep 26 @ COL
St. Louis Cardinals,81,78,0.509,9.5,6.5,7-3,L1,732,666,66,86-73,42-36,39-42,44-48,Sep 27 vs. CIN
Cincinnati Reds,76,83,0.478,14.5,11.5,4-6,L3,696,690,6,80-79,39-42,37-41,45-57,Sep 27 @ CHC
Pittsburgh Pirates,74,84,0.468,16,13,3-7,W1,646,722,-76,71-87,39-41,35-43,42-60,Sep 26 vs. MIL
NL WEST,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500,Next Game
Los Angeles Dodgers,93,64,0.592,-,-,7-3,L1,805,674,131,91-66,50-29,43-35,50-41,LIVE vs. SD
San Diego Padres,91,66,0.58,2,4.5,8-2,W5,743,644,99,89-68,45-36,46-30,48-42,LIVE @ LAD
Arizona Diamondbacks,87,71,0.551,6.5,-,5-5,L3,864,774,90,87-71,42-35,45-36,44-46,LIVE vs. SF
San Francisco Giants,79,79,0.5,14.5,8,7-3,W5,681,674,7,80-78,41-37,38-42,45-57,LIVE @ AZ
Colorado Rockies,60,98,0.38,33.5,27,4-6,L3,665,895,-230,58-100,36-41,24-57,42-60,Sep 26 vs. STL
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,